id;creation_date;comment_text;is_offensive;appuser_id;post_id
1;2026-03-30T13:13:10;appropriate aboard defenseless;false;1;1
2;2026-03-30T18:53:52;but decision greatly;true;2;2
3;2026-03-30T21:57:46;nor so apud;true;1;3
4;2026-03-30T09:59:44;develop even wisely;true;2;4
5;2026-03-31T06:39:58;upon;true;1;5
6;2026-03-31T07:04:54;marten;false;2;6
7;2026-03-30T16:38:27;innovation beside mobility;false;2;7
8;2026-03-31T02:32:12;instead but worldly;false;2;8
9;2026-03-30T13:20:59;jealous;false;2;9
10;2026-03-30T12:41:22;successfully colorize sweetly;false;2;10
11;2026-03-30T13:35:30;shadowbox for;false;1;11
12;2026-03-30T21:45:39;personal;false;1;12
13;2026-03-31T04:40:35;remarkable finally;true;2;13
14;2026-03-30T15:58:23;yearningly outrank;false;2;14
15;2026-03-30T22:41:35;victoriously onto vivacious;false;2;15
16;2026-03-30T13:45:24;storyboard likewise ick;false;1;16
17;2026-03-30T19:23:11;rule carelessly hence;false;2;17
18;2026-03-30T08:49:11;trust;true;2;18
19;2026-03-31T06:46:24;through legitimize;true;1;19
20;2026-03-30T16:14:42;scoop outrank;true;1;20
21;2026-03-30T09:09:22;oof;false;1;21
22;2026-03-30T21:13:22;deceivingly;false;1;22
23;2026-03-31T01:57:08;finally;false;2;23
24;2026-03-31T05:04:24;how;false;2;24
25;2026-03-30T07:45:05;between;false;1;25
26;2026-03-31T00:11:31;conclude;true;2;26
27;2026-03-31T02:37:02;decent partially digital;false;2;27
28;2026-03-30T20:46:38;log;false;1;28
29;2026-03-31T00:20:23;as;false;1;29
30;2026-03-30T13:24:13;until swiftly within;true;2;30
